x,y,K_mg
288.0,311.0,11.5
285.6,288.0,8.5
273.6,269.0,7.0
280.8,249.0,10.7
273.6,231.0,11.2
276.0,206.0,11.6
285.6,182.0,7.2
288.0,164.0,5.7
292.8,137.0,5.2
278.4,119.0,7.2
360.0,315.0,3.9
355.2,291.0,9.5
367.2,272.0,8.9
367.2,250.0,11.5
352.8,226.0,10.7
350.4,203.0,8.3
369.6,180.0,6.1
369.6,165.0,6.7
357.6,139.0,6.2
355.2,118.0,0.0
434.4,312.0,5.5
451.2,295.0,4.0
448.8,268.0,7.0
432.0,252.0,5.3
441.6,228.0,11.6
441.6,204.0,9.0
444.0,182.0,14.5
441.6,160.0,12.1
432.0,140.0,0.9
444.0,119.0,0.0
254.4,172.0,3.2
254.4,128.0,1.2
254.4,299.0,1.7
333.6,301.0,1.2
333.6,271.0,7.6
333.6,194.0,11.6
333.6,163.0,8.7
412.8,285.0,5.8
254.4,257.0,3.8
412.8,172.0,10.4
412.8,150.0,10.0
492.0,282.0,7.1
492.0,249.0,4.4
492.0,315.0,10.4
492.0,150.0,1.6
444.0,190.0,15.0
436.8,240.0,3.4
360.0,195.0,6.8
345.6,210.0,10.8
254.4,216.0,14.9
280.8,216.0,9.9
307.2,216.0,11.6
333.6,216.0,6.5
360.0,216.0,10.1
386.4,216.0,11.8
412.8,216.0,11.0
439.2,216.0,16.7
456.6,216.0,11.6
492.0,216.0,6.9
345.6,216.0,9.9
